
IN | 270,380, "https://en.wikipedia.org/wiki/Helldivers.png"
OUT | ERROR RESIZING IMAGE: https://en.wikipedia.org/wiki/Helldivers.png
IN | 270,380, "It_Takes_Two_cover_art.png"
OUT | "resized_It_Takes_Two_cover_art.png"
IN | 270,380, "Borderlands_2_cover_art.png"
OUT | "resized_Borderlands_2_cover_art.png"
IN | 270,380, "A_Way_Out_Logo.png"
OUT | "resized_A_Way_Out_Logo.png"
IN | 270,380, "Borderlands_2_cover_art.png"
OUT | "resized_Borderlands_2_cover_art.png"
IN | 270,380, "Lovers_in_a_dangerous_Spacetime_logo.png"
OUT | "resized_Lovers_in_a_dangerous_Spacetime_logo.png"
IN | 270,380, "It_Takes_Two_cover_art.png"
OUT | "resized_It_Takes_Two_cover_art.png"
IN | 270,380, "Resident_Evil_6_box_artwork.png"
OUT | "resized_Resident_Evil_6_box_artwork.png"
IN | 270,380, "A_Way_Out_Logo.png"
OUT | "resized_A_Way_Out_Logo.png"
IN | 270,380, "Borderlands_2_cover_art.png"
OUT | "resized_Borderlands_2_cover_art.png"
IN | 270,380, "Borderlands_3_cover_art.png"
OUT | "resized_Borderlands_3_cover_art.png"
IN | 270,380, "A_Way_Out_Logo.png"
OUT | "resized_A_Way_Out_Logo.png"
IN | 270,380, "Borderlands_2_cover_art.png"
OUT | "resized_Borderlands_2_cover_art.png"
IN | 270,380, "Trine_4_The_Nightmare_Prince_cover.png"
OUT | ERROR RESIZING IMAGE: Trine_4_The_Nightmare_Prince_cover.png
IN | 270,380, "Rayman_Legends_Box_Art.png"
OUT | "resized_Rayman_Legends_Box_Art.png"
IN | 270,380, "Rayman_Legends_Box_Art.png"
OUT | "resized_Rayman_Legends_Box_Art.png"
IN | 270,380, "Back_4_Blood_cover_art.png"
OUT | "resized_Back_4_Blood_cover_art.png"
IN | 270,380, "Back_4_Blood_cover_art.png"
OUT | "resized_Back_4_Blood_cover_art.png"
IN | 270,380, "Resident_Evil_6_box_artwork.png"
OUT | "resized_Resident_Evil_6_box_artwork.png"
IN | 270,380, "A_Way_Out_Logo.png"
OUT | "resized_A_Way_Out_Logo.png"
IN | 270,380, "Resident_Evil_6_box_artwork.png"
OUT | "resized_Resident_Evil_6_box_artwork.png"
IN | 270,380, "Resident_Evil_6_box_artwork.png"
OUT | "resized_Resident_Evil_6_box_artwork.png"
IN | 270,380, "Resident_Evil_6_box_artwork.png"
OUT | "resized_Resident_Evil_6_box_artwork.png"
IN | 270,380, "Back_4_Blood_cover_art.png"
OUT | "resized_Back_4_Blood_cover_art.png"
IN | 270,380, "Borderlands_3_cover_art.png"
OUT | "resized_Borderlands_3_cover_art.png"
IN | 270,380, "Far_Cry_5_boxshot.png"
OUT | "resized_Far_Cry_5_boxshot.png"
IN | 270,380, "Outriders_cover_art.png"
OUT | "resized_Outriders_cover_art.png"
IN | 270,380, "Borderlands_3_cover_art.png"
OUT | "resized_Borderlands_3_cover_art.png"
IN | 270,380, "Rayman_Legends_Box_Art.png"
OUT | "resized_Rayman_Legends_Box_Art.png"
IN | 270,380, "Borderlands_3_cover_art.png"
OUT | "resized_Borderlands_3_cover_art.png"
IN | 270,380, "Back_4_Blood_cover_art.png"
OUT | "resized_Back_4_Blood_cover_art.png"
IN | 270,380, "Borderlands_3_cover_art.png"
OUT | "resized_Borderlands_3_cover_art.png"
IN | 270,380, "Back_4_Blood_cover_art.png"
OUT | "resized_Back_4_Blood_cover_art.png"
IN | 270,380, "Overcooked_2_cover_art.png"
OUT | "resized_Overcooked_2_cover_art.png"
IN | 270,380, "Overcooked_2_cover_art.png"
OUT | "resized_Overcooked_2_cover_art.png"
IN | 270,380, "Trine_4_The_Nightmare_Prince_cover.png"
OUT | ERROR RESIZING IMAGE: Trine_4_The_Nightmare_Prince_cover.png
IN | 270,380, "Trine_4_The_Nightmare_Prince_cover.png"
OUT | ERROR RESIZING IMAGE: Trine_4_The_Nightmare_Prince_cover.png
IN | 270,380, "Payday2cover.png"
OUT | "resized_Payday2cover.png"
IN | 270,380, "Resident_Evil_6_box_artwork.png"
OUT | "resized_Resident_Evil_6_box_artwork.png"
IN | 270,380, "Overcooked_2_cover_art.png"
OUT | "resized_Overcooked_2_cover_art.png"
IN | 270,380, "Resident_Evil_6_box_artwork.png"
OUT | "resized_Resident_Evil_6_box_artwork.png"
IN | 270,380, "Borderlands_2_cover_art.png"
OUT | "resized_Borderlands_2_cover_art.png"
IN | 270,380, "Back_4_Blood_cover_art.png"
OUT | "resized_Back_4_Blood_cover_art.png"
